Ensembl.ID	Gene.Symbol	GNF.GeneAtlas.Specificity
ENSMUSG00000008843	Cldn13	TRE
ENSMUSG00000008999	Bmp7	TRE
ENSMUSG00000009070	Rtdr1	TRE
ENSMUSG00000009092	Derl3	TRE
ENSMUSG00000009097	Tbx1	TRE
ENSMUSG00000009108	Gnat2	TRE
ENSMUSG00000009115	1700027D21Rik	TRE
ENSMUSG00000009145	Dqx1	TRE
ENSMUSG00000009185	Ccl8	TRE
ENSMUSG00000009210	2310007L24Rik	TRE
ENSMUSG00000009216	Fam163b	TRE
ENSMUSG00000009292	Trpm2	TRE
ENSMUSG00000009350	Mpo	TRE
ENSMUSG00000009356	Lpo	TRE
ENSMUSG00000009394	Syn2	TRE
ENSMUSG00000009566	Fpgs	TRE
ENSMUSG00000009588	St6galnac1	TRE
ENSMUSG00000009614	Sardh	TRE
ENSMUSG00000009628	Tex15	TRE
ENSMUSG00000009646	Pla2g12b	TRE
ENSMUSG00000009654	Oit3	TRE
ENSMUSG00000009670	Tex11	TRE
ENSMUSG00000009681	Bcr	TRE
ENSMUSG00000009731	Kcnd1	TRE
ENSMUSG00000009739	Pou6f1	TRE
ENSMUSG00000009941	Nxf2	TRE
ENSMUSG00000010044	Zmynd10	TRE
ENSMUSG00000010064	Slc38a3	TRE
ENSMUSG00000010066	Cacna2d2	TRE
ENSMUSG00000010080	Epn3	TRE
ENSMUSG00000010122	Slc47a1	TRE
ENSMUSG00000010136	1700027A23Rik	TRE
ENSMUSG00000010142	Tnfrsf13b	TRE
ENSMUSG00000010175	Prox1	TRE
ENSMUSG00000010307	Tmem86a	TRE
ENSMUSG00000010342	Tex14	TRE
ENSMUSG00000010461	Eya4	TRE
ENSMUSG00000010529	Gm266	TRE
ENSMUSG00000010538	1700021C14Rik	TRE
ENSMUSG00000010592	Dazl	TRE
ENSMUSG00000010601	Apol7a	TRE
ENSMUSG00000010751	Tnfrsf22	TRE
ENSMUSG00000011008	Mcoln2	TRE
ENSMUSG00000011034	Slc5a1	TRE
ENSMUSG00000011171	Vipr2	TRE
ENSMUSG00000011254	Thg1l	TRE
ENSMUSG00000011263	Exoc3l2	TRE
ENSMUSG00000011267	Zfp296	TRE
ENSMUSG00000011463	Cpb1	TRE
ENSMUSG00000011486	Slc25a41	TRE
ENSMUSG00000011589	Fsd1	TRE
ENSMUSG00000011632	2310033E01Rik	TRE
ENSMUSG00000011751	Spnb4	TRE
ENSMUSG00000011832	Evi5l	TRE
ENSMUSG00000011877	Git1	TRE
ENSMUSG00000012123	Aim1l	TRE
ENSMUSG00000012126	Ubxn11	TRE
ENSMUSG00000012187	Mogat1	TRE
ENSMUSG00000012211	Tex22	TRE
ENSMUSG00000012443	Kif11	TRE
ENSMUSG00000012519	Mlkl	TRE
ENSMUSG00000012609	Ttll5	TRE
ENSMUSG00000012819	Cdh23	TRE
ENSMUSG00000013155	E130303B06Rik	TRE
ENSMUSG00000013338	Fer1l4	TRE
ENSMUSG00000013367	Iglon5	TRE
ENSMUSG00000013418	B4galnt2	TRE
ENSMUSG00000013419	Zfp651	TRE
ENSMUSG00000013523	Bcas1	TRE
ENSMUSG00000013584	Aldh1a2	TRE
ENSMUSG00000013611	Snx31	TRE
ENSMUSG00000013629	Cad	TRE
ENSMUSG00000013846	St3gal1	TRE
ENSMUSG00000013921	Clip3	TRE
ENSMUSG00000013936	Myl2	TRE
ENSMUSG00000013974	1810033B17Rik	TRE
ENSMUSG00000014030	Pax5	TRE
ENSMUSG00000014075	Tctex1d2	TRE
ENSMUSG00000014158	Trpv4	TRE
ENSMUSG00000014243	Zswim7	TRE
ENSMUSG00000014351	Gip	TRE
ENSMUSG00000014453	Blk	TRE
ENSMUSG00000014503	Pkd2l2	TRE
ENSMUSG00000014529	4930511M11Rik	TRE
