"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_name","celltype"
2.92074472715159e-35,0.98442093040475,0.362,0.097,6.0690154685483e-31,5,"ENSMUSG00000038718","Pbx3","TC IV"
3.30895175157866e-41,0.985001821678429,0.25,0.025,6.87567084460529e-37,5,"ENSMUSG00000033740","St18","TC IV"
1.77058554292518e-66,0.991124551802549,0.946,0.701,3.67909969964424e-62,5,"ENSMUSG00000025809","Itgb1","TC IV"
4.7612787202134e-50,0.99440635137538,0.668,0.285,9.89346105273143e-46,5,"ENSMUSG00000036093","Arl5a","TC IV"
2.14173599512123e-57,0.994972995179361,0.427,0.077,4.45031322426239e-53,5,"ENSMUSG00000039911","Spsb1","TC IV"
1.26830706943626e-57,0.997227159781755,0.928,0.72,2.63541525958161e-53,5,"ENSMUSG00000048490","Nrip1","TC IV"
2.03832408692438e-57,1.00098058666448,0.909,0.778,4.23543362022016e-53,5,"ENSMUSG00000037369","Kdm6a","TC IV"
3.612430497557e-45,1.00941619590902,0.423,0.107,7.50626933087369e-41,5,"ENSMUSG00000040433","Zbtb38","TC IV"
6.20479438490618e-62,1.01179515174619,0.917,0.749,1.28929422523965e-57,5,"ENSMUSG00000021127","Zfp36l1","TC IV"
8.58604144305525e-41,1.01195258292741,0.677,0.376,1.78409355145245e-36,5,"ENSMUSG00000029992","Gfpt1","TC IV"
2.47746317629248e-42,1.01315183066057,0.788,0.52,5.14792073401815e-38,5,"ENSMUSG00000026827","Gpd2","TC IV"
2.11734586725654e-43,1.01426272699599,0.549,0.212,4.39963297757237e-39,5,"ENSMUSG00000034156","Tspoap1","TC IV"
1.52243250796331e-41,1.02657944853642,0.855,0.589,3.16346250829696e-37,5,"ENSMUSG00000038179","Slamf7","TC IV"
1.46979101791442e-56,1.02901145948063,0.583,0.182,3.05407875612437e-52,5,"ENSMUSG00000022994","Adcy6","TC IV"
1.09589947826185e-39,1.0309235669465,0.764,0.474,2.27716952588029e-35,5,"ENSMUSG00000023186","Vwa5a","TC IV"
2.27277645105177e-79,1.04067609880309,0.974,0.842,4.72260218764048e-75,5,"ENSMUSG00000036478","Btg1","TC IV"
6.22787874104245e-40,1.05047222778811,0.744,0.451,1.29409092360121e-35,5,"ENSMUSG00000026628","Atf3","TC IV"
1.16595139648225e-79,1.05578120030804,0.941,0.729,2.42273040675047e-75,5,"ENSMUSG00000030557","Mef2a","TC IV"
4.16421595763871e-67,1.06867673530811,0.403,0.048,8.65282433837747e-63,5,"ENSMUSG00000050315","Synpo2","TC IV"
1.08783314896317e-58,1.07599144773949,0.644,0.224,2.26040850023057e-54,5,"ENSMUSG00000021306","Gpr137b","TC IV"
1.55406915414632e-64,1.08041624863415,0.878,0.571,3.22920029540063e-60,5,"ENSMUSG00000020589","Fam49a","TC IV"
2.97754591645771e-57,1.08798511904996,0.421,0.08,6.18704265980747e-53,5,"ENSMUSG00000019878","Hsf2","TC IV"
2.30930086587652e-80,1.09545952673538,0.97,0.727,4.79849626920481e-76,5,"ENSMUSG00000027351","Spred1","TC IV"
4.89321618540486e-62,1.1087128796974,0.814,0.418,1.01676139116528e-57,5,"ENSMUSG00000013846","St3gal1","TC IV"
1.78365653130943e-66,1.11392385476327,0.865,0.65,3.70625990640787e-62,5,"ENSMUSG00000038127","Ccdc50","TC IV"
9.97443602325383e-81,1.11925063192041,0.926,0.69,2.07258806127191e-76,5,"ENSMUSG00000052085","Dock8","TC IV"
7.7666677561743e-90,1.12013441790898,0.97,0.58,1.61383589305546e-85,5,"ENSMUSG00000039629","Strip2","TC IV"
3.31253326746008e-87,1.13398411611984,0.954,0.718,6.88311287645529e-83,5,"ENSMUSG00000020644","Id2","TC IV"
5.49554837549166e-57,1.13446430641828,0.77,0.404,1.14191999694341e-52,5,"ENSMUSG00000039316","Rftn1","TC IV"
